ID,CallFailure,Complaints,SubscriptionLength,ChargeAmount,SecondsofUse,Frequencyofuse,FrequencyofSMS,DistinctCalledNumbers,AgeGroup,TariffPlan,Status,Age,CustomerValue,Churn
1,8,0,38,0,4370,71,5,17,3,1,1,30,197.64,0
2,0,0,39,0,318,5,7,4,2,1,2,25,46.035,0
3,10,0,37,0,2453,60,359,24,3,1,1,30,1536.52,0
4,10,0,38,0,4198,66,1,35,1,1,1,15,240.02,0
5,3,0,38,0,2393,58,2,33,1,1,1,15,145.805,0
6,11,0,38,1,3775,82,32,28,3,1,1,30,282.28,0
7,4,0,38,0,2360,39,285,18,3,1,1,30,1235.96,0
8,13,0,37,2,9115,121,144,43,3,1,1,30,945.44,0
9,7,0,38,0,13773,169,0,44,3,1,1,30,557.68,0
10,7,0,38,1,4515,83,2,25,3,1,1,30,191.92,0
11,6,0,38,0,5918,95,7,12,3,1,1,30,268.52,0
12,9,0,38,0,2238,54,8,17,3,1,2,30,123.68,0
13,25,0,38,3,15140,225,54,32,3,1,1,30,830.6,0
14,4,0,38,1,3095,27,483,8,3,1,1,30,2056.88,0
15,9,0,37,0,15485,182,150,30,2,1,1,25,1380.015,0
16,3,0,37,1,6500,86,186,26,3,1,1,30,1007.44,0
17,0,0,37,0,875,14,0,11,2,1,2,25,40.005,1
18,2,0,38,0,710,14,13,8,3,1,2,30,80.96,0
19,0,0,37,0,0,0,0,0,2,1,2,25,0,1
20,3,0,37,0,7508,127,384,43,2,1,1,25,2071.575,0
21,7,0,37,1,11465,154,11,47,4,1,1,45,317.975,0
22,8,0,37,1,6718,75,108,37,2,1,1,25,791.685,0
23,23,1,33,0,955,47,16,17,2,1,2,25,117.09,1
24,21,1,36,8,10435,93,1,42,5,2,1,55,159.42,0
25,13,1,36,1,5818,98,26,24,2,1,1,25,383.22,1
26,1,0,34,0,2840,22,0,14,3,1,1,30,114.48,0
27,9,0,35,0,2990,41,9,16,3,1,2,30,157.24,1
28,9,1,36,0,2268,44,34,31,3,1,2,30,228.48,1
29,0,0,36,0,133,2,0,2,3,1,2,30,5.4,1
30,1,0,36,0,1668,25,0,6,3,1,1,30,67.72,0
31,3,0,33,1,6785,97,14,22,5,1,1,55,124.23,0
32,0,1,36,0,628,7,9,4,4,1,2,45,38.375,1
33,0,0,36,1,338,4,4,2,5,1,1,55,11.13,0
34,25,0,31,3,16075,238,0,80,2,2,1,25,734.085,0
35,6,0,34,3,6965,116,271,33,2,2,1,25,1538.145,0
36,2,0,36,0,3718,82,2,28,2,1,1,25,180,0
37,3,0,35,0,1665,44,38,20,3,1,2,30,220.36,0
38,6,0,36,0,2780,53,175,23,2,1,1,25,914.985,0
39,4,0,27,1,1315,36,193,11,2,2,1,25,929.295,0
40,4,0,26,0,1568,39,30,68,4,1,1,45,115.175,0
41,11,0,27,0,700,25,10,7,2,1,2,25,77.625,0
42,0,0,26,0,825,10,21,3,4,1,2,45,73.375,1
43,10,0,25,0,1225,32,19,13,2,1,1,25,142.065,0
44,2,0,25,0,3225,61,8,23,3,1,1,30,163.44,0
45,2,0,18,0,1695,26,28,14,2,1,1,25,203.445,0
46,16,0,17,1,6393,141,85,42,2,2,1,25,676.53,0
47,12,0,15,0,8933,171,73,40,4,1,1,45,410.1,0
48,8,0,16,3,2853,45,31,19,3,2,1,30,239.92,0
49,2,0,9,1,4390,40,215,10,3,1,1,30,1037.2,0
50,3,0,9,1,1488,19,0,7,3,1,1,30,60.28,1
51,11,0,40,1,4430,74,10,19,3,1,1,30,220.16,0
52,3,0,41,1,378,8,12,6,3,1,1,30,63.44,0
53,13,0,39,1,2513,63,364,26,3,1,1,30,1559.04,0
54,13,0,40,1,4258,69,6,37,1,1,1,15,270.985,0
55,6,0,40,1,2453,61,7,35,2,1,1,25,144.63,0
56,14,0,40,2,3835,85,37,30,3,2,1,30,304.8,0
57,7,0,40,1,2420,42,290,20,3,1,1,30,1258.48,0
58,16,0,39,3,9175,124,149,45,3,1,1,30,967.96,0
59,10,0,40,1,13833,172,5,46,3,1,1,30,580.2,0
60,10,0,40,2,4575,86,7,27,3,1,1,30,214.44,0
61,9,0,40,1,5978,98,12,14,3,1,1,30,291.04,0
62,12,0,40,1,2298,57,13,19,3,1,1,30,146.2,0
63,28,0,40,4,15200,228,59,34,3,1,1,30,853.12,0
64,7,0,40,2,3155,30,488,10,3,1,1,30,2079.4,0
65,12,0,39,1,15545,185,155,32,2,1,1,25,1405.35,0
66,6,0,39,2,6560,89,191,28,3,1,1,30,1029.96,0
67,3,0,39,1,935,17,5,13,2,1,1,25,65.34,0
68,5,0,40,1,770,17,18,10,3,1,1,30,103.48,0
69,3,1,39,1,60,3,5,2,2,1,1,25,25.335,1
70,6,0,39,1,7568,130,389,45,3,1,1,30,1863.92,0
71,10,0,39,2,11525,157,16,49,4,2,1,45,332.05,0
72,11,0,39,2,6778,78,113,39,2,1,1,25,817.02,0
73,26,1,35,1,1015,50,21,19,3,1,1,30,126.6,1
74,24,1,38,9,10495,96,6,44,5,2,1,55,167.865,0
75,16,0,38,2,5878,101,31,26,2,1,1,25,408.555,0
76,4,0,36,1,2900,25,5,16,3,1,1,30,137,0
77,12,0,37,1,3050,44,14,18,3,1,1,30,179.76,1
78,12,1,38,1,2328,47,39,33,3,1,1,30,251,1
79,3,0,38,1,193,5,5,4,3,1,1,30,27.92,1
80,4,0,38,1,1728,28,5,8,4,1,1,45,56.4,0
81,6,0,35,2,6845,100,19,24,5,1,1,55,132.675,0
82,3,0,38,1,688,10,14,6,4,1,1,45,52.45,1
83,3,0,38,2,398,7,9,4,5,1,1,55,19.575,0
84,28,0,33,4,16135,241,5,82,2,1,1,25,759.42,0
85,9,1,36,4,7025,119,276,35,3,2,1,30,1389.76,0
86,5,0,38,1,3778,85,7,30,3,1,1,30,182.52,0
87,6,0,37,1,1725,47,43,22,3,1,1,30,242.88,0
88,9,0,38,1,2840,56,180,25,2,1,1,25,940.32,0
89,7,0,29,2,1375,39,198,13,3,2,1,30,848.56,0
90,7,0,28,1,1628,42,35,70,4,1,1,45,129.25,0
91,14,0,29,1,760,28,15,9,3,1,1,30,91.52,0
92,3,0,28,1,885,13,26,5,4,1,1,45,87.45,0
93,13,0,27,1,1285,35,24,15,2,1,1,25,167.4,0
94,5,0,27,1,3285,64,13,25,3,1,1,30,185.96,0
95,5,0,20,1,1755,29,33,16,2,1,1,25,228.78,0
96,19,0,19,2,6453,144,90,44,2,2,1,25,701.865,0
97,15,0,17,1,8993,174,78,42,5,1,1,55,254.505,0
98,11,0,18,4,2913,48,36,21,3,1,1,30,262.44,0
99,5,0,11,2,4450,43,220,12,3,1,1,30,1059.72,0
100,6,1,11,2,1548,22,5,9,3,1,1,30,82.8,1
101,5,0,36,0,4310,68,0,15,2,1,1,25,197.01,0
102,0,0,37,0,258,2,2,2,2,1,2,25,20.7,0
103,7,0,35,0,2393,57,354,22,2,1,1,25,1703.25,0
104,7,0,36,0,4138,63,0,33,1,1,1,15,231.055,0
105,0,0,36,0,2333,55,0,31,1,1,1,15,131.34,0
106,8,0,36,0,3715,79,27,26,3,1,1,30,259.76,0
107,1,0,36,0,2300,36,280,16,3,1,1,30,1213.44,0
108,10,0,35,1,9055,118,139,41,3,1,1,30,922.92,0
109,4,0,36,0,13713,166,0,42,3,1,1,30,555.16,0
110,4,0,36,0,4455,80,0,23,3,1,1,30,181.4,0
111,3,0,36,0,5858,92,2,10,2,1,1,25,276.75,0
112,6,1,36,0,2178,51,3,15,3,1,2,30,101.16,0
113,22,0,36,2,15080,222,49,30,3,1,1,30,808.08,0
114,1,0,36,0,3035,24,478,6,3,1,1,30,2034.36,0
115,6,0,35,0,15425,179,145,28,2,1,1,25,1354.68,0
116,0,0,35,0,6440,83,181,24,3,1,1,30,984.92,0
117,0,0,35,0,815,11,0,9,2,1,2,25,37.17,0
118,0,0,36,0,650,11,8,6,2,1,2,25,65.745,0
119,0,0,35,0,0,0,0,0,2,1,2,25,0,1
120,0,0,35,0,7448,124,379,41,2,1,1,25,2046.24,0
121,4,0,35,0,11405,151,6,45,3,1,1,30,486.24,0
122,5,0,35,0,6658,72,103,35,2,1,1,25,766.35,0
123,20,0,31,0,895,44,11,15,2,1,2,25,91.755,1
124,18,0,34,7,10375,90,0,40,4,1,1,45,261.625,0
125,10,0,34,0,5758,95,21,22,2,1,1,25,357.885,1
126,0,0,32,0,2780,19,0,12,3,1,1,30,111.96,0
127,6,0,33,0,2930,38,4,14,2,1,2,25,151.56,1
128,6,1,34,0,2208,41,29,29,3,1,2,30,205.96,1
129,0,1,34,0,0,0,0,0,3,1,2,30,0,1
130,0,0,34,0,1608,22,0,4,3,1,1,30,65.2,0
131,0,0,31,0,6725,94,9,20,4,1,1,45,192.975,0
132,0,0,34,0,568,4,4,2,4,1,2,45,24.3,1
133,0,0,34,0,0,0,0,0,5,1,1,55,0,0
134,22,0,29,2,16015,235,0,78,2,1,1,25,731.25,0
135,3,0,32,2,6905,113,266,31,2,2,1,25,1512.81,0
136,0,0,34,0,3658,79,0,26,2,1,1,25,168.165,0
137,0,0,33,0,1605,41,33,18,3,1,2,30,197.84,0
138,3,0,34,0,2720,50,170,21,2,1,1,25,889.65,0
139,1,0,25,0,1255,33,188,9,2,2,1,25,903.96,0
140,1,0,24,0,1508,36,25,66,4,1,1,45,101.1,0
141,8,0,25,0,640,22,5,5,2,1,2,25,52.29,0
142,0,1,24,0,765,7,16,1,4,1,2,45,59.3,1
143,7,0,23,0,1165,29,14,11,2,1,1,25,116.73,0
144,0,0,23,0,3165,58,3,21,3,1,1,30,140.92,0
145,0,0,16,0,1635,23,23,12,2,1,1,25,178.11,0
146,13,0,15,0,6333,138,80,40,1,2,1,15,795.905,0
147,9,0,13,0,8873,168,68,38,4,1,1,45,396.025,0
148,5,0,14,2,2793,42,26,17,3,1,1,30,217.4,0
149,0,0,7,0,4330,37,210,8,3,1,1,30,1014.68,0
150,0,0,7,0,1428,16,0,5,3,1,1,30,57.76,1
151,9,0,42,1,4450,73,15,21,3,1,1,30,240.92,0
152,1,1,43,0,398,7,17,8,3,1,2,30,84.2,1
153,11,0,41,1,2533,62,369,28,3,1,1,30,1579.8,0
154,11,0,42,1,4278,68,11,39,1,1,1,15,299.53,0
155,4,0,42,1,2473,60,12,37,2,1,1,25,167.985,0
156,12,0,42,2,3855,84,42,32,3,1,1,30,325.56,0
157,5,0,42,1,2440,41,295,22,3,1,1,30,1279.24,0
158,14,0,41,3,9195,123,154,47,3,1,1,30,988.72,0
159,8,0,42,1,13853,171,10,48,3,1,1,30,600.96,0
160,8,0,42,2,4595,85,12,29,3,1,1,30,235.2,0
161,7,0,42,1,5998,97,17,16,3,1,1,30,311.8,0
162,10,0,42,0,2318,56,18,21,3,1,2,30,166.96,0
163,26,0,42,4,15220,227,64,36,3,2,1,30,873.88,0
164,5,0,42,2,3175,29,493,12,3,1,1,30,2100.16,0
165,10,0,41,1,15565,184,160,34,2,1,1,25,1428.705,0
166,4,0,41,2,6580,88,196,30,3,1,1,30,1050.72,0
167,1,0,41,0,955,16,10,15,2,1,2,25,88.695,0
168,3,0,42,0,790,16,23,12,3,1,2,30,124.24,0
169,1,0,41,0,80,2,10,4,2,1,2,25,48.69,1
170,4,0,41,1,7588,129,394,47,3,1,1,30,1884.68,0
171,8,0,41,2,11545,156,21,51,4,1,1,45,345.025,0
172,9,0,41,2,6798,77,118,41,2,1,1,25,840.375,0
173,24,1,37,0,1035,49,26,21,3,1,2,30,147.36,1
174,22,1,40,9,10515,95,11,46,5,1,1,55,175.65,0
175,14,0,40,2,5898,100,36,28,2,1,1,25,431.91,1
176,2,0,38,1,2920,24,10,18,3,1,1,30,157.76,0
177,10,0,39,0,3070,43,19,20,3,1,2,30,200.52,1
178,10,1,40,0,2348,46,44,35,3,1,2,30,271.76,1
179,1,0,40,0,213,4,10,6,3,1,2,30,48.68,1
180,2,0,40,1,1748,27,10,10,4,1,1,45,69.375,0
181,4,0,37,2,6865,99,24,26,5,1,1,55,140.46,0
182,1,1,40,0,708,9,19,8,4,1,2,45,65.425,1
183,1,0,40,2,418,6,14,6,5,1,1,55,27.36,0
184,26,0,35,4,16155,240,10,84,2,1,1,25,782.775,0
185,7,1,38,4,7045,118,281,37,2,2,1,25,1586.835,0
186,3,0,40,1,3798,84,12,32,3,1,1,30,203.28,0
187,4,0,39,0,1745,46,48,24,3,1,2,30,263.64,0
188,7,0,40,1,2860,55,185,27,2,1,1,25,963.675,0
189,5,0,31,2,1395,38,203,15,2,2,1,25,977.985,0
190,5,0,30,1,1648,41,40,72,4,1,1,45,142.225,0
191,12,0,31,0,780,27,20,11,3,1,2,30,112.28,0
192,1,0,30,0,905,12,31,7,4,1,2,45,100.425,0
193,11,0,29,1,1305,34,29,17,2,1,1,25,190.755,0
194,3,0,29,1,3305,63,18,27,3,1,1,30,206.72,0
195,3,0,22,1,1775,28,38,18,2,1,1,25,252.135,0
196,17,0,21,2,6473,143,95,46,2,2,1,25,725.22,0
197,13,0,19,1,9013,173,83,44,5,1,1,55,262.29,0
198,9,0,20,4,2933,47,41,23,3,1,1,30,283.2,0
199,3,0,13,2,4470,42,225,14,3,1,1,30,1080.48,0
200,4,0,13,2,1568,21,10,11,3,1,1,30,103.56,1
201,7,0,34,0,4290,69,0,13,2,1,1,25,196.155,0
202,0,0,35,0,0,0,0,0,2,1,2,25,0,0
203,9,0,33,0,2373,58,349,20,2,1,1,25,1679.895,0
